Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Asparagus Cooked,0,0,22,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0,1.3
Bagels made in wheat,0,1,250,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0,6.1
Brocolli,0,0,25,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0,0.6
Brown Rice,0,0,362,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0,0.0
Cauliflower,0,0,32,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0,0.0
Corn,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0,7.7
Onions,0,0,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0,4.2
Pasta canned with tomato sauce,0,1,71,0.7,2.2,0.91,13.0,381.0,192.0,14.0,0.9,0,4.0
Peas,0,0,81,0.4,5.4,1.47,25.0,5.0,244.0,14.0,5.7,0,5.7
Pumpkin,0,0,18,0.1,0.7,0.57,15.0,237.0,230.0,4.3,1.1,0,2.1
Tuna Salad,1,0,187,9.3,16.0,1.0,17.0,402.0,178.0,9.4,0.0,0,0.0
French Fries,0,1,289,14.0,3.5,0.91,17.0,357.0,545.0,37.0,3.9,0,0.3
Chicken Burger,1,1,292,15.0,18.0,0.62,13.0,859.0,315.0,20.0,1.3,0,0.0
Cheese Burger,0,1,256,12.0,13.0,2.78,92.0,660.0,178.0,25.0,1.4,0,0.0
Chicken Sandwich,1,1,257,12.0,15.0,1.32,92.0,605.0,256.0,23.0,1.2,0,5.0
Sugar Doughnuts,0,1,426,23.0,5.2,1.06,60.0,402.0,102.0,51.0,1.5,0,32.0
Chocolate Doughnuts,0,1,452,25.0,4.9,4.0,24.0,326.0,201.0,51.0,1.9,0,27.0
Dosa,0,0,168,3.7,4.5,8.0,0.7,94.0,76.0,29.0,0.9,0,0.1
Idli,0,0,156,1.7,5.0,17.2,4.0,207.0,63.0,30.2,2.1,0,0.74
Chappati,0,0,297,7.5,11.0,3.01,93.0,409.0,266.0,46.0,4.9,0,2.7
Tomato,0,0,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0,2.63
Yogurt,0,0,60,4.0,3.1,0.08,183.0,70.0,234.0,7.0,0.0,1,7.0
Noodles,0,1,108,0.2,1.8,0.14,4.0,19.0,4.0,24.0,1.0,0,0.0
Uttapam,0,0,188,7.2,4.4,24.0,6.4,522.0,91.0,26.4,2.2,0,0.24
Dal Makhani,0,0,109,8.5,2.1,35.2,8.3,243.0,366.0,6.3,1.5,0,3.29
Mushrooms,0,0,22,0.3,3.1,0.5,3.0,5.0,318.0,3.3,1.0,7,2.0
Sweet Potatoes cooked,0,0,76,0.1,1.4,0.72,27.0,27.0,230.0,18.0,2.5,0,5.7
Boiled Potatoes,0,0,87,0.1,1.9,0.31,5.0,240.0,379.0,20.0,2.0,0,0.9
White Rice,0,0,360,0.6,6.6,4.36,9.0,1.0,86.0,79.0,1.4,0,0.0
Greek yogurt plain,0,0,73,1.9,10.0,0.04,115.0,34.0,141.0,3.9,0.0,0,3.6
Cottage cheese with vegetables,0,0,95,4.2,11.0,0.1,56.0,403.0,86.0,3.0,0.1,0,0.4
Salmon,1,0,127,4.4,21.0,0.38,7.0,75.0,366.0,0.0,0.0,435,0.0
Beans,0,0,31,0.2,1.8,1.03,37.0,6.0,211.0,7.0,2.7,0,3.3
Lentils,0,0,101,0.5,8.8,3.1,14.0,246.0,284.0,21.0,0.0,0,0.0
Pasta with corn homemade,0,0,126,0.7,2.6,0.25,1.0,0.0,31.0,28.0,4.8,0,0.0
Quninoa,0,0,120,1.9,4.4,1.49,17.0,7.0,172.0,21.0,2.8,0,0.9
Goat meat,1,0,109,2.3,21.0,2.83,13.0,82.0,385.0,57.0,0.0,0,0.0
Rabbit meat,1,0,114,2.3,22.0,3.2,12.0,50.0,378.0,0.0,0.0,0,0.0
Steak Fries,1,1,255,13.0,3.3,0.69,19.0,43.0,551.0,31.0,3.5,0,0.9
Mexican Rice,0,0,195,4.9,3.6,1.18,39.0,677.0,131.0,34.0,1.1,0,1.4
Macroni n Cheese ,0,0,194,12.0,6.5,57.0,145.0,375.0,127.0,16.0,1.1,0,2.8
Nachos,0,0,350,22.0,4.3,0.75,63.0,313.0,362.0,35.0,3.2,0,2.2
Chicken Popcorn,1,0,351,22.0,18.0,1.42,32.0,1140.0,288.0,21.0,1.0,0,0.0
Turkey cooked,1,0,203,10.0,27.0,1.52,28.0,78.0,294.0,0.0,0.0,8,0.0
Oyster cooked,1,0,159,4.0,29.0,4.9,6.0,81.0,409.0,0.0,0.0,0,0.0
Steamed Buff momos,1,1,590,30.0,30.0,0.0,0.0,3130.0,0.0,70.0,1.0,0,0.0
Steamed chicken Momo,1,1,565,13.0,26.6,0.0,0.0,2500.0,0.0,85.0,1.6,0,1.6
Fried Chicken momos,1,1,812,33.8,45.2,0.0,0.0,2500.0,0.0,80.8,0.0,0,0.0
fried buff momos,1,1,620,22.0,34.0,1.122,0.17,112.0,1021.0,72.0,4.0,0,4.0
steamed veg momo,0,1,352,8.0,18.0,0.0,0.0,1112.0,275.0,52.0,4.0,0,46.0
chowmin,0,1,191,3.6,7.7,0.0,0.0,19506.0,0.0,31.8,0.0,0,12.6
current Noodles,0,1,485,22.0,10.0,1.5,12.0,1150.0,115.0,63.0,0.8,0,0.0
Thukpa,0,1,200,1.0,13.0,3.12,0.0,7.0,0.0,36.0,11.0,0,6.0
somosas,0,1,51,2.6,0.9,0.0,0.0,0.0,0.0,5.9,0.9,0,0.0
pani puri,0,1,25,1.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0
Chatpate,0,1,172,12.8,7.3,0.0,0.0,5.7,0.0,6.7,0.0,0,2.8
chatamari,0,1,176,12.9,7.0,0.0,0.0,4.8,0.0,7.0,0.0,0,1.9
selroti,0,1,83,4.8,0.5,2.241,0.498,0.6,0.0,18.5,0.6,0,2.7
Yomari,0,1,115,1.2,2.2,2.241,1.495,11.7,0.0,22.7,0.0,0,0.0
gundruk,0,0,180,12.0,4.0,0.018,18.0,1000.0,5.0,12.0,0.0,0,0.0
Dhido,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
Aloo Tama,0,0,482,20.0,10.0,0.702,1250.0,0.0,0.0,65.5,0.8,0,0.1
chicken sekuwa,1,0,450,8.0,33.0,0.0,0.0,700.0,0.0,63.0,0.0,0,4.0
chicken choilaa,1,0,541,40.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
kachila,1,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
churpii,0,0,20,1.5,2.0,0.0,60.0,82.0,0.0,0.0,0.0,0,0.0
juju dhau,0,0,200,9.0,20.0,0.0,600.0,180.0,0.0,12.0,0.0,0,12.0
jeri,0,0,200,2.0,1.2,0.0,0.0,1.0,25.0,31.0,0.3,0,20.1
lassi,0,0,154,4.5,2.6,0.9,300.0,0.0,0.0,25.0,0.0,0,15.0
Barfi,0,0,84,4.0,1.0,0.0,50.0,1.0,25.0,10.0,0.0,0,13.0
Sukuti,0,0,289,6.7,53.9,0.0,0.0,3.7,0.0,3.3,0.0,0,1.5
Rajhma,0,0,151,7.1,7.0,2.196,65.0,167.4,362.4,24.2,0.0,0,3.7
Kwati,0,0,82,3.4,2.5,1.35,28.0,360.21,123.1,8.7,2.4,0,2.9
Mustard Green(Rayo ko sagg),0,0,15,0.2,1.6,0.72,60.0,11.0,215.0,2.6,1.8,0,0.7
Masyaura,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
dhungri,0,0,142,7.2,1.4,0.0,0.0,0.0,0.0,17.9,0.0,0,0.0
puri,0,0,107,3.4,2.7,0.9,10.0,247.0,58.0,16.8,1.7,0,0.1
Dahi puri chat,0,1,489,5.0,16.0,1.26,500.0,745.0,773.0,30.0,1.0,0,20.0
aloo paratha,0,0,329,6.2,9.1,3.06,50.0,15.0,982.0,62.3,10.1,0,3.9
onion pakauda,0,0,80,4.8,1.1,0.4,58.0,30.6,0.4,8.2,0.4,0,0.6
shapaley,0,1,100,1.0,50.1,18.0,1002.0,5.0,26.0,1.0,0.0,0,0.0
chicken sausages,1,1,140,8.0,15.0,1.08,20.0,470.0,0.0,2.0,1.0,0,0.01
Buff Sausages,1,1,250,19.0,0.0,1.8,0.0,1134.0,145.0,0.0,19.0,0,0.0
Rikikur,0,1,268,14.8,6.1,1.674,32.0,764.0,622.0,27.8,3.3,0,1.8
Bhatmas Sadeko,0,0,445,13.0,8.8,0.0,0.0,0.0,0.0,73.7,0.0,0,0.0
